record_id,pub_apa,pub_year,pop_country,total_n,Language
584,"Waid-Ebbs et al., 2014",2014,USA,6,"English, 100"
288,"Wall et al., 2006",2006,USA,618,"Non-English, 1.46"
476,"Whiteside et al., 2015",2015,USA,224,"English, 100"
580,"Wilson, Harkrider, & King, 2014",2014,USA,27,"English, 100"
488,"Winkler et al., 2016",2016,USA,100,"English, 100"
332,"Wong, Murdoch, & Whelan, 2010",2010,Australia,14,"English, 100"
396,"Yallampalli et al., 2013",2013,USA,22,"English, 100"
478,"Yengo-Kahn & Solomon, 2015",2015,USA,237,"English, 100"
365,"Zuckerman, Lee, et al., 2012",2012,USA,200,"English, 100"
399,"Zuckerman, Lee, Odom, Solomon, & Sills, 2013",2013,USA,814,"English, 100"
366,"Zuckerman, Solomon, et al., 2012",2012,USA,80,"English, 100"
